 Order ID,Customer Name ,customer_email,Order Date,Status,Amount ($),Qty,Product,Region,Notes,
10456,Aisha Miller  ,aisha.miller@example.com,3/20/2026,SHIPPED , 104.05 ,1,Webcam,West,,
10496,Felix Novak,felix.novak@example.com,6/13/2026,Pending,1220.7,1,Keyboard,West,Leave at door ,
10497,  Liam Carter,liam.carter@example.com,14 Mar 2026,SHIPPED ,1230.62,2,Headset,South,,
10493,Sofia Brooks  ,sofia.brooks@example.com,26 May 2026,Shipped ," 1,882.00 ",1,Desk lamp,N/A,,
10432,Aisha Nair  ,aisha.nair@example.com,9 May 2026,refunded,(910.40),1,Standing desk,West,Gift wrap,
10439,Hannah Khan  ,hannah.khan@example.com,2026-03-24,Refunded,(338.61),1,Webcam,Central,Gift wrap,
10424,Tom Khan  ,,2026-03-22,SHIPPED ,894.33,2,Standing desk,South,null,
10502,Maria Lopez  ,maria.lopez@example.com,3/8/2026,Shipped ,1591.7,2,Webcam,North,,
10422,Lena Miller  ,-,2026-01-12, Pending,422.6,1,Desk lamp,North,,
10506,Priya Rossi  ,priya.rossi@example.com,3/12/2026,shipped,$777.52,1,Desk lamp,West,,
10447,Lena Haddad,lena.haddad@example.com,15 Feb 2026,Shipped,767.7,2,Webcam,South,,
10490,Liam Walsh,liam.walsh@example.com,7 Jan 2026,Shipped ,1877.25,2,Standing desk,South,Gift wrap,
10504,Felix Hughes,felix.hughes@example.com,8 May 2026,SHIPPED ,1166.64,1,Keyboard,Central,,
10499,Ethan Reyes  ,ethan.reyes@example.com,2026-01-04,shipped,586.0,1,Standing desk,West,,
10488,Aisha Lopez,aisha.lopez@example.com,2026-05-15,refunded,"(1,503.82)",2,Keyboard,South,Gift wrap,
10495,  James Haddad,james.haddad@example.com,2/9/2026,shipped,"$1,550.72",1,Office chair,East,,
10469,Sofia Miller  ,sofia.miller@example.com,18 Mar 2026,Pending,333.59,1,Cable kit,Central,null,
10468,Liam Park  ,liam.park@example.com,5/28/2026,Shipped," 1,733.38 ",3,Keyboard,West,Gift wrap,
10461,Aisha Khan  ,aisha.khan@example.com,26 Mar 2026,SHIPPED ,$460.40,1,Cable kit,West,Gift wrap,
10466,Grace Walsh,grace.walsh@example.com,5/10/2026,Shipped,$757.65,3,Keyboard,West,null,
10428,Lena ONeil  ,lena.oneil@example.com,2026-03-12,pending,"$1,819.53",1,Cable kit,South,,
10450,  Tom Khan,tom.khan@example.com,6 Jun 2026,shipped," 1,560.18 ",1,Standing desk,Central,Call before delivery,
10458,Lena Miller  ,,10 Mar 2026,Pending," 1,119.90 ",3,Cable kit,South,Leave at door ,
10489,  Daniel Berg,daniel.berg@example.com,2026-06-26, Pending,389.9,1,Webcam,North,Leave at door ,
10433,Tom Berg  ,tom.berg@example.com,6/23/2026,Shipped,$404.80,3,Keyboard,Central,,
10472,  Priya Miller,priya.miller@example.com,1/16/2026,SHIPPED ,255.64,3,Headset,South,,
10479,Daniel Brooks,daniel.brooks@example.com,21 May 2026,Shipped, 383.94 ,2,Office chair,South,Leave at door ,
10444,Sofia Carter,sofia.carter@example.com,2026-04-01,Pending, 852.31 ,3,Cable kit,Central,Call before delivery,
10479,Daniel Brooks,daniel.brooks@example.com,21 May 2026,Shipped, 383.94 ,2,Office chair,South,Leave at door ,
,,,,,,,,,,
10481,James Berg  ,james.berg@example.com,5/13/2026,SHIPPED ,1408.56,3,Office chair,West,,
10462,James Nair,james.nair@example.com,9 Mar 2026, Pending, 591.30 ,3,Standing desk,West,,
